URL Links,Department Initials,Title,Catalog Page
https://www.utdallas.edu/fact-sheets/epps/mpp/,epps,Master of Public Policy,https://catalog.utdallas.edu/now/graduate/programs/epps/public-policy-and-political-economy#master-of-public-policy
https://www.utdallas.edu/fact-sheets/epps/phd-public-policy-and-political-economy/,epps,Doctor of Philosophy in Public Policy and Political Economy,https://catalog.utdallas.edu/now/graduate/programs/epps/public-policy-and-political-economy#doctor-of-philosophy-in-public-policy-and-political-economy
https://www.utdallas.edu/fact-sheets/nsm/mat-science-education/,nsm,Master of Arts in Teaching in Science Education,https://catalog.utdallas.edu/now/graduate/programs/nsm/science-and-mathematics-education
https://www.utdallas.edu/fact-sheets/epps/ms-social-data-analytics-and-research/,epps,Master of Science in Social Data Analytics and Research,https://catalog.utdallas.edu/now/graduate/programs/epps/social-data-analytics-and-research
https://www.utdallas.edu/fact-sheets/ecs/ms-software-engineering/,ecs,Executive Master of Science in Software Engineering,https://catalog.utdallas.edu/2018/graduate/programs/ecs/software-engineering#master-of-science-in-software-engineering
https://www.utdallas.edu/fact-sheets/ecs/phd-software-engineering/,ecs,Doctor of Philosophy in Software Engineering,https://catalog.utdallas.edu/2018/graduate/programs/ecs/software-engineering
https://www.utdallas.edu/fact-sheets/nsm/ms-statistics/,nsm,Master of Science in Statistics,https://catalog.utdallas.edu/now/graduate/programs/nsm/mathematics#master-of-science-in-statistics
https://www.utdallas.edu/fact-sheets/nsm/phd-statistics/,nsm,Doctor of Philosophy in Statistics,https://catalog.utdallas.edu/now/graduate/programs/nsm/mathematics#doctor-of-philosophy-in-statistics
https://www.utdallas.edu/fact-sheets/jsom/ms-supply-chain-management/,jsom,Master of Science in Supply Chain Management,http://catalog.utdallas.edu/now/graduate/programs/jsom/supply-chain-management
https://www.utdallas.edu/fact-sheets/ecs/ms-systems-engineering-and-management/,ecs,Master of Science in Systems Engineering and Management,https://catalog.utdallas.edu/now/graduate/programs/jsom/systems-engineering-and-management/ms-sem
https://www.utdallas.edu/fact-sheets/ecs/ms-telecommunications-engineering/,ecs,Master of Science in Telecommunications Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/telecom-engineering#telecom-engineering-ms
https://www.utdallas.edu/fact-sheets/epps/ms-cyber-security-technology-and-policy/,epps,"Master of Science in Cyber Security, Technology and Policy",https://catalog.utdallas.edu/now/graduate/programs/epps/public-policy-and-political-economy#master-of-science-in-cyber-security-technology-and-policy
https://www.utdallas.edu/fact-sheets/epps/ba-bs-economics/,epps,Bachelor of Arts / Bachelor of Science in Economics,https://catalog.utdallas.edu/now/undergraduate/programs/epps/economics
https://www.utdallas.edu/fact-sheets/epps/ba-criminology/,epps,Bachelor of Arts in Criminology,https://catalog.utdallas.edu/now/undergraduate/programs/epps/criminology
https://www.utdallas.edu/fact-sheets/ecs/phd-biomedical-engineering/,ecs,Doctor of Philosophy in Biomedical Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/biomedical-engineering#biomedical-engineering-phd
https://www.utdallas.edu/fact-sheets/ecs/master-of-science-in-cyber-security-technology-and-policy/,ecs,"Master of Science in Cyber Security, Technology and Policy",https://catalog.utdallas.edu/now/graduate/programs/epps/public-policy-and-political-economy#master-of-science-in-cyber-security-technology-and-policy
https://www.utdallas.edu/fact-sheets/jsom/master-of-science-in-systems-engineering-and-management/,jsom,Master of Science in Systems Engineering and Management,https://catalog.utdallas.edu/now/graduate/programs/jsom/systems-engineering-and-management/ms-sem
https://www.utdallas.edu/fact-sheets/jsom/bachelor-of-science-in-accounting/,jsom,Bachelor of Science in Accounting,
https://www.utdallas.edu/fact-sheets/ecs/bs-computer-engineering/,ecs,Bachelor of Science in Computer Engineering,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/computer-engineering
https://www.utdallas.edu/fact-sheets/nsm/ba-bs-biology/,nsm,Bachelor of Arts / Bachelor of Science in Biology,https://catalog.utdallas.edu/now/undergraduate/programs/nsm/biology
https://www.utdallas.edu/fact-sheets/ecs/phd-telecommunications-engineering/,ecs,Doctor of Philosophy in Telecommunications Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/telecom-engineering
https://www.utdallas.edu/fact-sheets/ah/ma-visual-and-performing-arts/,ah,Master of Arts in Visual and Performing Arts,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#overview
https://www.utdallas.edu/fact-sheets/ah/phd-visual-and-performing-arts/,ah,Doctor of Philosophy in Visual and Performing Arts,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#humanities-phd
https://www.utdallas.edu/fact-sheets/jsom/master-of-science-in-leadership-and-organizational-development/,jsom,Master of Science in Leadership and Organizational Development,https://obcc.utdallas.edu/ms-leadership-and-organizational-development/
https://www.utdallas.edu/fact-sheets/jsom/bs-in-business-analytics/,jsom,Bachelor of Science in Business Analytics,https://catalog.utdallas.edu/2021/undergraduate/programs/jsom/business-analytics
https://www.utdallas.edu/fact-sheets/is/ba-bs-in-education/,is,School of Interdisciplinary Studies,https://catalog.utdallas.edu/2021/undergraduate/programs/is/education/
