URL Links,Department Initials,Title,Catalog Page,Course File Name
https://www.utdallas.edu/fact-sheets/jsom/ms-international-management-studies/,jsom,Master of Science in International Management Studies,http://catalog.utdallas.edu/now/graduate/programs/jsom/international-management-studies,courses/Master of Science in International Management Studies.csv
https://www.utdallas.edu/fact-sheets/jsom/phd-international-management-studies/,jsom,Doctor of Philosophy in International Management Studies,http://catalog.utdallas.edu/now/graduate/programs/jsom/phd#international-management-studies-phd,courses/Doctor of Philosophy in International Management Studies.csv
https://www.utdallas.edu/fact-sheets/epps/ms-international-political-economy/,epps,Master of Science in International Political Economy,https://catalog.utdallas.edu/now/graduate/programs/epps/public-policy-and-political-economy#master-of-science-in-international-political-economy,courses/Master of Science in International Political Economy.csv
https://www.utdallas.edu/fact-sheets/ah/ma-latin-american-studies/,ah,Master of Arts in Latin American Studies,https://catalog.utdallas.edu/now/graduate/programs/ah/latin-american-studies,courses/Master of Arts in Latin American Studies.csv
https://www.utdallas.edu/fact-sheets/ah/ma-literature/,ah,Master of Arts in Literature,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#overview,courses/Master of Arts in Literature.csv
https://www.utdallas.edu/fact-sheets/ah/phd-literature/,ah,Doctor of Philosophy in Literature,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#humanities-phd,courses/Doctor of Philosophy in Literature.csv
https://www.utdallas.edu/fact-sheets/jsom/ms-management-science/,jsom,Master of Science in Management Science,https://catalog.utdallas.edu/now/graduate/programs/jsom/management-science,courses/Master of Science in Management Science.csv
https://www.utdallas.edu/fact-sheets/jsom/phd-management-science/,jsom,Doctor of Philosophy in Management Science,http://catalog.utdallas.edu/now/graduate/programs/jsom/phd#management-science-phd,courses/Doctor of Philosophy in Management Science.csv
https://www.utdallas.edu/fact-sheets/jsom/ms-marketing/,jsom,Master of Science in Marketing,http://catalog.utdallas.edu/now/graduate/programs/jsom/marketing,courses/Master of Science in Marketing.csv
https://www.utdallas.edu/fact-sheets/jsom/mba/,jsom,Master of Business Administration,http://catalog.utdallas.edu/now/graduate/programs/jsom/business-administration,courses/Master of Business Administration.csv
